Iter 780: Train loss 0.71160259, Learning Rate 1.000e-05, It/sec 4.072, Tokens/sec 134.368, Trained Tokens 25740, Peak mem 3.481 GB
Iter 790: Train loss 0.71154299, Learning Rate 1.000e-05, It/sec 3.988, Tokens/sec 131.593, Trained Tokens 26070, Peak mem 3.481 GB
Iter 800: Train loss 0.71145139, Learning Rate 1.000e-05, It/sec 3.978, Tokens/sec 131.276, Trained Tokens 26400, Peak mem 3.481 GB
Iter 810: Train loss 0.71145110, Learning Rate 1.000e-05, It/sec 3.938, Tokens/sec 129.941, Trained Tokens 26730, Peak mem 3.481 GB
Iter 820: Train loss 0.71135883, Learning Rate 1.000e-05, It/sec 3.813, Tokens/sec 125.834, Trained Tokens 27060, Peak mem 3.481 GB
Iter 830: Train loss 0.71136298, Learning Rate 1.000e-05, It/sec 4.166, Tokens/sec 137.468, Trained Tokens 27390, Peak mem 3.481 GB
Iter 840: Train loss 0.71131368, Learning Rate 1.000e-05, It/sec 3.938, Tokens/sec 129.965, Trained Tokens 27720, Peak mem 3.481 GB
Iter 850: Train loss 0.71118708, Learning Rate 1.000e-05, It/sec 4.113, Tokens/sec 135.743, Trained Tokens 28050, Peak mem 3.481 GB
Iter 860: Train loss 0.71112938, Learning Rate 1.000e-05, It/sec 3.914, Tokens/sec 129.146, Trained Tokens 28380, Peak mem 3.481 GB
Iter 870: Train loss 0.71107416, Learning Rate 1.000e-05, It/sec 3.927, Tokens/sec 129.600, Trained Tokens 28710, Peak mem 3.481 GB
Iter 880: Train loss 0.71108127, Learning Rate 1.000e-05, It/sec 3.963, Tokens/sec 130.767, Trained Tokens 29040, Peak mem 3.481 GB
Iter 890: Train loss 0.71109920, Learning Rate 1.000e-05, It/sec 4.108, Tokens/sec 135.555, Trained Tokens 29370, Peak mem 3.481 GB
Iter 900: Train loss 0.71109943, Learning Rate 1.000e-05, It/sec 4.059, Tokens/sec 133.939, Trained Tokens 29700, Peak mem 3.481 GB
Iter 910: Train loss 0.71104803, Learning Rate 1.000e-05, It/sec 4.032, Tokens/sec 133.064, Trained Tokens 30030, Peak mem 3.481 GB
Iter 920: Train loss 0.71087308, Learning Rate 1.000e-05, It/sec 4.087, Tokens/sec 134.858, Trained Tokens 30360, Peak mem 3.481 GB
Iter 930: Train loss 0.71089306, Learning Rate 1.000e-05, It/sec 4.128, Tokens/sec 136.228, Trained Tokens 30690, Peak mem 3.481 GB
Iter 940: Train loss 0.71069551, Learning Rate 1.000e-05, It/sec 3.885, Tokens/sec 128.217, Trained Tokens 31020, Peak mem 3.481 GB
Iter 950: Train loss 0.71093912, Learning Rate 1.000e-05, It/sec 3.899, Tokens/sec 128.677, Trained Tokens 31350, Peak mem 3.481 GB
Iter 960: Train loss 0.71067076, Learning Rate 1.000e-05, It/sec 3.980, Tokens/sec 131.348, Trained Tokens 31680, Peak mem 3.481 GB
Iter 970: Train loss 0.71072936, Learning Rate 1.000e-05, It/sec 3.964, Tokens/sec 130.822, Trained Tokens 32010, Peak mem 3.481 GB
Iter 980: Train loss 0.71076179, Learning Rate 1.000e-05, It/sec 4.106, Tokens/sec 135.513, Trained Tokens 32340, Peak mem 3.481 GB
Iter 990: Train loss 0.71061082, Learning Rate 1.000e-05, It/sec 4.120, Tokens/sec 135.949, Trained Tokens 32670, Peak mem 3.481 GB
Iter 1000: Train loss 0.71059318, Learning Rate 1.000e-05, It/sec 4.095, Tokens/sec 135.134, Trained Tokens 33000, Peak mem 3.481 GB
Iter 1010: Train loss 0.71064863, Learning Rate 1.000e-05, It/sec 4.043, Tokens/sec 133.417, Trained Tokens 33330, Peak mem 3.481 GB
Iter 1020: Train loss 0.71056800, Learning Rate 1.000e-05, It/sec 4.049, Tokens/sec 133.627, Trained Tokens 33660, Peak mem 3.481 GB
Iter 1030: Train loss 0.71063204, Learning Rate 1.000e-05, It/sec 4.134, Tokens/sec 136.412, Trained Tokens 33990, Peak mem 3.481 GB
Iter 1040: Train loss 0.71054893, Learning Rate 1.000e-05, It/sec 3.923, Tokens/sec 129.445, Trained Tokens 34320, Peak mem 3.481 GB
Iter 1050: Train loss 0.71055822, Learning Rate 1.000e-05, It/sec 4.147, Tokens/sec 136.853, Trained Tokens 34650, Peak mem 3.481 GB
Iter 1060: Train loss 0.71054897, Learning Rate 1.000e-05, It/sec 4.058, Tokens/sec 133.898, Trained Tokens 34980, Peak mem 3.481 GB
Iter 1070: Train loss 0.71036325, Learning Rate 1.000e-05, It/sec 3.988, Tokens/sec 131.610, Trained Tokens 35310, Peak mem 3.481 GB
Iter 1080: Train loss 0.71054678, Learning Rate 1.000e-05, It/sec 4.084, Tokens/sec 134.777, Trained Tokens 35640, Peak mem 3.481 GB
